state,year,blood_type,donations
Johor,2019,a,10277
Johor,2019,ab,2128
Johor,2019,all,41261
Johor,2019,b,11043
Johor,2019,o,17813
Johor,2020,a,9924
Johor,2020,ab,2093
Johor,2020,all,40705
Johor,2020,b,10996
Johor,2020,o,17692
Johor,2021,a,9745
Johor,2021,ab,2162
Johor,2021,all,40409
Johor,2021,b,10870
Johor,2021,o,17632
Johor,2022,a,10550
Johor,2022,ab,2144
Johor,2022,all,42832
Johor,2022,b,11570
Johor,2022,o,18568
Johor,2023,a,10623
Johor,2023,ab,2295
Johor,2023,all,43706
Johor,2023,b,11663
Johor,2023,o,19124
Johor,2024,a,7912
Johor,2024,ab,1512
Johor,2024,all,32509
Johor,2024,b,8777
Johor,2024,o,14308
Kedah,2019,a,10539
Kedah,2019,ab,2869
Kedah,2019,all,42506
Kedah,2019,b,11979
Kedah,2019,o,17119
Kedah,2020,a,4647
Kedah,2020,ab,1272
Kedah,2020,all,18876
Kedah,2020,b,5286
Kedah,2020,o,7671
Kedah,2021,a,4852
Kedah,2021,ab,1234
Kedah,2021,all,19946
Kedah,2021,b,5692
Kedah,2021,o,8168
Kedah,2022,a,5211
Kedah,2022,ab,1327
Kedah,2022,all,21128
Kedah,2022,b,5944
Kedah,2022,o,8646
Kedah,2023,a,5420
Kedah,2023,ab,1345
Kedah,2023,all,21564
Kedah,2023,b,6044
Kedah,2023,o,8754
Kedah,2024,a,3742
Kedah,2024,ab,906
Kedah,2024,all,14909
Kedah,2024,b,4221
Kedah,2024,o,6040
Kelantan,2019,a,3065
Kelantan,2019,ab,802
Kelantan,2019,all,11583
Kelantan,2019,b,3047
Kelantan,2019,o,4669
Kelantan,2020,a,3401
Kelantan,2020,ab,865
Kelantan,2020,all,12757
Kelantan,2020,b,3364
Kelantan,2020,o,5127
Kelantan,2021,a,3144
Kelantan,2021,ab,919
Kelantan,2021,all,12095
Kelantan,2021,b,3210
Kelantan,2021,o,4822
Kelantan,2022,a,4042
Kelantan,2022,ab,1010
Kelantan,2022,all,15060
Kelantan,2022,b,3838
Kelantan,2022,o,6169
Kelantan,2023,a,4424
Kelantan,2023,ab,1109
Kelantan,2023,all,16716
Kelantan,2023,b,4544
Kelantan,2023,o,6639
Kelantan,2024,a,3613
Kelantan,2024,ab,902
Kelantan,2024,all,13574
Kelantan,2024,b,3491
Kelantan,2024,o,5568
Kuala Lumpur,2019,a,50199
Kuala Lumpur,2019,ab,11352
Kuala Lumpur,2019,all,198506
Kuala Lumpur,2019,b,53932
Kuala Lumpur,2019,o,83011
Kuala Lumpur,2020,a,42860
Kuala Lumpur,2020,ab,9498
Kuala Lumpur,2020,all,169941
Kuala Lumpur,2020,b,45794
Kuala Lumpur,2020,o,71778
Kuala Lumpur,2021,a,43324
Kuala Lumpur,2021,ab,9262
Kuala Lumpur,2021,all,173967
Kuala Lumpur,2021,b,47710
Kuala Lumpur,2021,o,73659
Kuala Lumpur,2022,a,50271
Kuala Lumpur,2022,ab,10614
Kuala Lumpur,2022,all,202413
Kuala Lumpur,2022,b,54974
Kuala Lumpur,2022,o,86537
Kuala Lumpur,2023,a,51695
Kuala Lumpur,2023,ab,10513
Kuala Lumpur,2023,all,206288
Kuala Lumpur,2023,b,56007
Kuala Lumpur,2023,o,88058
Kuala Lumpur,2024,a,36714
Kuala Lumpur,2024,ab,7567
Kuala Lumpur,2024,all,146005
Kuala Lumpur,2024,b,39298
Kuala Lumpur,2024,o,62412
Melaka,2019,a,7791
Melaka,2019,ab,1835
Melaka,2019,all,30233
Melaka,2019,b,7789
Melaka,2019,o,12818
Melaka,2020,a,7072
Melaka,2020,ab,1690
Melaka,2020,all,27536
Melaka,2020,b,7316
Melaka,2020,o,11458
Melaka,2021,a,7082
Melaka,2021,ab,1788
Melaka,2021,all,27956
Melaka,2021,b,7471
Melaka,2021,o,11615
Melaka,2022,a,7676
Melaka,2022,ab,1795
Melaka,2022,all,30510
Melaka,2022,b,8114
