state,2019,2020,2021,2022,2023,2024
Johor,41261,40705,40409,42832,43706,32509
Kedah,42506,18876,19946,21128,21564,14909
Kelantan,11583,12757,12095,15060,16716,13574
Kuala Lumpur,198506,169941,173967,202413,206288,146005
Melaka,30233,27536,27956,30510,28445,20688
Negeri Sembilan,18306,16398,14935,15917,16417,11891
Pahang,15810,22155,22828,23851,22803,16957
Penang,43448,36512,35211,38420,41633,30421
Perak,41032,40086,43151,46498,46920,33129
Sabah,36156,34069,31210,35530,39826,28749
Sarawak,37567,33960,35783,40129,41593,30094
Selangor,28065,29234,26094,29313,30132,22694
Terengganu,16304,15361,16180,18226,19360,14544
